type,amount,oldbalanceOrg,newbalanceOrig,isFraud
3,17682.86,11565.0,0.0,No Fraud
3,8158.73,0.0,0.0,No Fraud
1,470619.89,0.0,0.0,No Fraud
3,15897.57,38430.0,22532.43,No Fraud
1,143332.0,143332.0,0.0,Fraud
1,124174.02,20494.0,0.0,No Fraud
1,349289.86,0.0,0.0,No Fraud
4,91655.26,91655.26,0.0,Fraud
1,1586479.66,1586479.66,0.0,Fraud
1,454859.39,0.0,0.0,Fraud
0,125478.66,170.0,125648.66,No Fraud
4,140333.35,140333.35,0.0,Fraud
0,251209.15,4787196.77,5038405.92,No Fraud
1,619502.08,619502.08,0.0,Fraud
3,1391.54,250944.0,249552.46,No Fraud
0,228928.78,1598148.23,1827077.01,No Fraud
3,8985.36,0.0,0.0,No Fraud
4,1074260.57,0.0,0.0,No Fraud
0,51883.73,15157329.38,15209213.11,No Fraud
4,117326.12,36862.0,0.0,No Fraud
1,44116.87,44116.87,0.0,Fraud
4,2913787.08,2913787.08,0.0,Fraud
1,82504.16,82504.16,0.0,Fraud
1,208868.36,208868.36,0.0,Fraud
1,190662.7,190662.7,0.0,Fraud
4,271229.8,271229.8,0.0,Fraud
1,237567.35,237567.35,0.0,Fraud
1,351232.88,51462.0,0.0,No Fraud
1,62271.77,20333.0,0.0,No Fraud
1,385207.12,385207.12,0.0,Fraud
1,432544.68,432544.68,0.0,Fraud
1,105080.35,105080.35,0.0,Fraud
4,421270.26,191274.0,0.0,No Fraud
0,198887.55,7453814.02,7652701.56,No Fraud
1,277049.8,501.0,0.0,No Fraud
4,12461.0,12461.0,0.0,Fraud
4,228706.19,228706.19,0.0,Fraud
1,143657.04,31118.0,0.0,No Fraud
4,3295227.84,3295227.84,0.0,Fraud
1,17246.0,17246.0,0.0,Fraud
1,1871553.73,1871553.73,0.0,Fraud
3,12386.47,0.0,0.0,No Fraud
4,922143.84,0.0,0.0,No Fraud
1,222450.72,103164.0,0.0,No Fraud
1,751854.42,751854.42,0.0,Fraud
1,119230.5,678.1,0.0,No Fraud
0,95251.95,3011.0,98262.95,No Fraud
1,47481.9,0.0,0.0,No Fraud
0,321313.96,4686460.11,5007774.07,No Fraud
3,17936.41,28868.0,10931.59,No Fraud
1,204721.27,204721.27,0.0,Fraud
1,47984.43,47984.43,0.0,Fraud
1,181728.11,0.0,0.0,Fraud
1,71867.47,71867.47,0.0,Fraud
4,2232667.51,2232667.51,0.0,Fraud
1,306902.18,0.0,0.0,No Fraud
4,25040.78,25040.78,0.0,Fraud
4,242678.33,242678.33,0.0,Fraud
1,177680.54,177680.54,0.0,Fraud
3,4868.1,20365.0,15496.9,No Fraud
4,1639676.27,1639676.27,0.0,Fraud
3,8056.96,438.0,0.0,No Fraud
4,472692.51,472692.51,0.0,Fraud
1,354929.24,173201.0,0.0,No Fraud
4,221167.84,221167.84,0.0,Fraud
4,106654.67,106654.67,0.0,Fraud
4,6038051.03,6038051.03,0.0,Fraud
1,66550.0,66550.0,0.0,Fraud
4,21922.0,21922.0,0.0,Fraud
3,6038.56,0.0,0.0,No Fraud
1,2198224.71,2198224.71,0.0,Fraud
1,404906.66,31062.0,0.0,No Fraud
1,270119.43,0.0,0.0,No Fraud
1,250658.09,353237.0,102578.91,No Fraud
1,49444.82,1829.0,0.0,No Fraud
4,36267.62,36267.62,0.0,Fraud
1,2406332.79,2406332.79,0.0,Fraud
3,5765.16,38440.27,32675.12,No Fraud
0,64222.98,2802161.12,2866384.1,No Fraud
0,130864.88,339106.3,469971.18,No Fraud
1,348983.86,348983.86,0.0,Fraud
4,4364760.42,4364760.42,0.0,Fraud
1,473101.64,11451.0,0.0,No Fraud
3,26274.31,0.0,0.0,No Fraud
4,1619331.51,1619331.51,0.0,Fraud
4,37720.99,37720.99,0.0,Fraud
4,165925.37,165925.37,0.0,Fraud
3,2676.64,181815.99,179139.35,No Fraud
1,101060.43,0.0,0.0,No Fraud
4,363378.75,363378.75,0.0,Fraud
0,251228.28,35327.0,286555.28,No Fraud
1,257633.65,15484.0,0.0,No Fraud
4,1398633.34,1398633.34,0.0,Fraud
1,61756.82,61756.82,0.0,Fraud
4,257988.47,257988.47,0.0,Fraud
1,18229.58,33050.0,14820.42,No Fraud
3,32744.2,66316.49,33572.29,No Fraud
0,211285.72,770.0,212055.72,No Fraud
1,558761.49,195032.0,0.0,No Fraud
4,198888.16,198888.16,0.0,Fraud
3,12016.73,11903.56,0.0,No Fraud
1,615954.92,615954.92,0.0,Fraud
4,82648.3,82648.3,0.0,Fraud
1,287741.9,0.0,0.0,No Fraud
1,201481.14,6671.46,0.0,No Fraud
4,1258818.82,1258818.82,0.0,Fraud
1,34162.97,34162.97,0.0,Fraud
1,190215.18,190215.18,0.0,Fraud
0,160713.38,2748477.62,2909191.0,No Fraud
1,18126.95,18126.95,0.0,Fraud
2,1271.01,1881.0,609.99,No Fraud
1,136903.9,136903.9,0.0,Fraud
0,94775.86,9182134.6,9276910.46,No Fraud
1,188348.33,100124.0,0.0,No Fraud
4,28284.88,28284.88,0.0,Fraud
1,132294.93,132294.93,0.0,Fraud
4,67299.57,67299.57,0.0,Fraud
1,51394.35,0.0,0.0,No Fraud
3,4515.26,180256.0,175740.74,No Fraud
1,148714.54,148714.54,0.0,Fraud
3,10157.25,0.0,0.0,No Fraud
1,373322.87,373322.87,0.0,Fraud
3,22143.21,41748.0,19604.79,No Fraud
4,391855.44,391855.44,0.0,Fraud
1,40486.25,40486.25,0.0,Fraud
1,2701905.3,2701905.3,0.0,Fraud
3,25545.3,18728.91,0.0,No Fraud
4,92735.71,92735.71,0.0,Fraud
1,2388251.16,2388251.16,0.0,Fraud
1,27186.72,0.0,0.0,No Fraud
4,1676936.79,1676936.79,0.0,Fraud
3,19578.16,5091.0,0.0,No Fraud
0,138994.62,1910314.43,2049309.05,No Fraud
3,10135.68,0.0,0.0,No Fraud
0,70225.15,56120.0,126345.15,No Fraud
1,155574.08,124.0,0.0,No Fraud
4,78741.64,78741.64,0.0,Fraud
1,13846.15,644537.0,630690.85,No Fraud
4,144283.42,144283.42,0.0,Fraud
4,288032.02,288032.02,0.0,Fraud
3,2479.5,7004.0,4524.5,No Fraud
0,388032.53,17478187.74,17866220.27,No Fraud
3,1321.67,198.0,0.0,No Fraud
3,1551.12,45095.0,43543.88,No Fraud
1,230239.49,24544.0,0.0,No Fraud
4,777448.03,777448.03,0.0,Fraud
1,797235.09,797235.09,0.0,Fraud
1,526119.49,526119.49,0.0,Fraud
1,668473.23,668473.23,0.0,Fraud
3,7779.47,0.0,0.0,No Fraud
0,32952.46,506442.0,539394.46,No Fraud
3,14542.16,27084.0,12541.84,No Fraud
1,810039.19,810039.19,0.0,Fraud
1,123146.28,123146.28,0.0,Fraud
1,439547.7,15951.0,0.0,No Fraud
1,3977.87,37769.0,33791.13,No Fraud
4,59127.34,59127.34,0.0,Fraud
4,78357.77,78357.77,0.0,Fraud
4,100762.66,100762.66,0.0,Fraud
4,1632500.22,1632500.22,0.0,Fraud
1,667043.9,667043.9,0.0,Fraud
1,145982.36,145982.36,0.0,Fraud
3,3066.54,0.0,0.0,No Fraud
4,61178.51,61178.51,0.0,Fraud
0,189668.51,5785679.12,5975347.63,No Fraud
3,4233.55,17140.06,12906.51,No Fraud
1,441892.92,441892.92,0.0,Fraud
3,6081.9,13189.14,7107.24,No Fraud
1,503620.99,503620.99,0.0,Fraud
1,5101855.95,5101855.95,0.0,Fraud
4,178616.12,178616.12,0.0,Fraud
1,435166.65,435166.65,0.0,Fraud
1,534470.98,534470.98,0.0,Fraud
0,350743.85,3928494.2,4279238.06,No Fraud
4,48340.79,48340.79,0.0,Fraud
1,320057.69,307016.0,0.0,No Fraud
1,305627.0,305627.0,0.0,Fraud
0,188895.91,70016.0,258911.91,No Fraud
0,388328.27,4163255.6,4551583.87,No Fraud
1,87217.41,1126.0,0.0,No Fraud
1,1486052.97,1486052.97,0.0,Fraud
1,3275.33,3275.33,0.0,Fraud
0,215927.07,1159355.05,1375282.12,No Fraud
4,40819.72,40819.72,0.0,Fraud
0,402791.59,1037156.39,1439947.97,No Fraud
4,475315.61,475315.61,0.0,Fraud
4,165207.91,0.0,0.0,No Fraud
1,188249.17,188249.17,0.0,Fraud
1,1157971.07,1157971.07,0.0,Fraud
4,131050.76,131050.76,0.0,Fraud
1,129860.64,0.0,0.0,No Fraud
4,633285.7,0.0,0.0,No Fraud
3,3467.43,83124.02,79656.59,No Fraud
4,2221683.68,2221683.68,0.0,Fraud
0,69863.43,40627.0,110490.43,No Fraud
4,337810.17,337810.17,0.0,Fraud
1,19509.71,853308.0,833798.29,No Fraud
1,35496.47,35496.47,0.0,Fraud
1,367980.99,367980.99,0.0,Fraud
0,8457.43,188.0,8645.43,No Fraud
1,205222.6,43197.0,0.0,No Fraud
3,1731.61,102140.0,100408.39,No Fraud
4,3424092.39,3424092.39,0.0,Fraud
4,74436.56,74436.56,0.0,Fraud
1,8097183.22,8097183.22,0.0,Fraud
4,1128131.99,1128131.99,0.0,Fraud
0,81833.13,5666094.13,5747927.27,No Fraud
4,475262.82,0.0,0.0,No Fraud
4,56847.17,56847.17,0.0,Fraud
3,2729.03,0.0,0.0,No Fraud
1,1438737.78,1438737.78,0.0,Fraud
1,250223.24,250223.24,0.0,Fraud
4,753723.54,753723.54,0.0,Fraud
1,281791.09,0.0,0.0,No Fraud
1,321167.19,149500.0,0.0,No Fraud
4,10000000.0,12754759.04,2754759.04,Fraud
4,121142.75,121142.75,0.0,Fraud
4,5512595.16,5512595.16,0.0,Fraud
4,432544.68,432544.68,0.0,Fraud
1,184588.59,184588.59,0.0,Fraud
1,759257.55,759257.55,0.0,Fraud
4,157705.36,157705.36,0.0,Fraud
3,6711.85,0.0,0.0,No Fraud
1,78028.89,78028.89,0.0,Fraud
1,319883.28,319883.28,0.0,Fraud
1,200418.1,200418.1,0.0,Fraud
4,183385.35,183385.35,0.0,Fraud
3,8812.19,0.0,0.0,No Fraud
1,135836.21,0.0,0.0,No Fraud
1,136192.42,0.0,0.0,No Fraud
1,226869.28,5085.0,0.0,No Fraud
0,218763.88,4450698.82,4669462.7,No Fraud
1,8594499.99,8594499.99,0.0,Fraud
1,13274.66,0.0,0.0,No Fraud
2,3106.9,100.0,0.0,No Fraud
0,669709.32,9646492.96,10316202.28,No Fraud
1,151017.81,390368.0,239350.19,No Fraud
1,881187.51,881187.51,0.0,Fraud
1,184955.41,0.0,0.0,No Fraud
1,44391.11,0.0,0.0,No Fraud
2,3168.12,51865.4,48697.28,No Fraud
4,953529.64,953529.64,0.0,Fraud
1,115571.77,264492.83,148921.06,No Fraud
1,17207.65,17207.65,0.0,Fraud
4,1390332.39,1390332.39,0.0,Fraud
4,612229.86,612229.86,0.0,Fraud
1,60675.5,0.0,0.0,No Fraud
1,295664.18,295664.18,0.0,Fraud
1,115204.19,0.0,0.0,No Fraud
3,4291.23,736055.0,731763.77,No Fraud
4,296349.8,296349.8,0.0,Fraud
4,32830.82,32830.82,0.0,Fraud
3,13070.0,638492.51,625422.51,No Fraud
1,7661.55,0.0,0.0,No Fraud
1,69739.67,0.0,0.0,No Fraud
4,393819.76,0.0,0.0,No Fraud
1,1494146.93,1494146.93,0.0,Fraud
4,31358.72,31358.72,0.0,Fraud
3,207.32,0.0,0.0,No Fraud
1,3606943.31,3606943.31,0.0,Fraud
0,453114.57,126892.0,580006.57,No Fraud
1,240728.73,61771.0,0.0,No Fraud
3,2261.11,212422.0,210160.89,No Fraud
4,21832.43,21832.43,0.0,Fraud
1,224064.9,0.0,0.0,No Fraud
4,2137134.15,2137134.15,0.0,Fraud
4,186227.75,186227.75,0.0,Fraud
1,154149.92,123993.0,0.0,No Fraud
0,251389.61,764452.77,1015842.38,No Fraud
4,713404.6,713404.6,0.0,Fraud
0,66554.13,40907.0,107461.13,No Fraud
4,27584.17,27584.17,0.0,Fraud
1,276136.3,0.0,0.0,No Fraud
1,1494831.65,1494831.65,0.0,Fraud
1,6498297.7,6498297.7,0.0,Fraud
4,537539.97,537539.97,0.0,Fraud
1,227988.57,0.0,0.0,No Fraud
1,383680.19,0.0,0.0,No Fraud
4,1586799.21,1614.0,0.0,No Fraud
4,271150.29,271150.29,0.0,Fraud
0,106903.24,49.0,106952.24,No Fraud
1,260408.9,260408.9,0.0,Fraud
1,31885.54,4130.41,0.0,No Fraud
1,185683.35,154286.0,0.0,No Fraud
4,243348.28,243348.28,0.0,Fraud
1,417129.11,417129.11,0.0,Fraud
3,11355.1,1160.0,0.0,No Fraud
4,369448.2,369448.2,0.0,Fraud
4,606501.57,606501.57,0.0,Fraud
1,116530.2,116530.2,0.0,Fraud
1,32166.93,0.0,0.0,No Fraud
3,7566.57,104585.0,97018.43,No Fraud
3,12121.71,99915.0,87793.29,No Fraud
4,125146.75,125146.75,0.0,Fraud
4,548910.91,6487.0,0.0,No Fraud
4,2028897.08,2028897.08,0.0,Fraud
4,1591587.2,0.0,0.0,No Fraud
3,12559.32,624244.24,611684.92,No Fraud
4,135100.36,135100.36,0.0,Fraud
1,2249574.01,2249574.01,0.0,Fraud
1,6029387.26,6029387.26,0.0,Fraud
3,23374.21,0.0,0.0,No Fraud
4,55740.39,55740.39,0.0,Fraud
1,19715.39,10115.0,0.0,No Fraud
0,81632.41,15398.0,97030.41,No Fraud
1,671406.79,671406.79,0.0,Fraud
3,1195.48,341611.08,340415.6,No Fraud
1,48909.19,0.0,0.0,No Fraud
4,1515291.19,1515291.19,0.0,Fraud
3,7996.9,0.0,0.0,No Fraud
1,43221.62,0.0,0.0,No Fraud
1,371449.7,371449.7,0.0,Fraud
0,67147.7,1330147.22,1397294.92,No Fraud
0,219283.18,1474.0,220757.18,No Fraud
4,567932.31,567932.31,0.0,Fraud
0,126469.12,6059451.39,6185920.51,No Fraud
1,429779.1,25.0,0.0,No Fraud
1,10000000.0,10000000.0,0.0,Fraud
1,568918.32,568918.32,0.0,Fraud
3,24768.57,21573.0,0.0,No Fraud
3,10385.09,45344.0,34958.91,No Fraud
3,4456.32,227634.04,223177.71,No Fraud
4,1467968.73,1467968.73,0.0,Fraud
1,571163.03,571163.03,0.0,Fraud
3,1967.51,281.0,0.0,No Fraud
3,7543.93,50273.65,42729.72,No Fraud
3,14918.24,94.0,0.0,No Fraud
3,9316.41,0.0,0.0,No Fraud
1,193567.67,80591.77,0.0,No Fraud
4,427469.04,12852.0,0.0,No Fraud
4,191233.15,0.0,0.0,No Fraud
4,534255.94,534255.94,0.0,Fraud
3,17976.86,111147.0,93170.14,No Fraud
1,57658.26,57658.26,0.0,Fraud
1,38180.99,38180.99,0.0,Fraud
4,361460.79,361460.79,0.0,Fraud
1,259525.36,0.0,0.0,No Fraud
1,192033.94,7564.0,0.0,No Fraud
4,8006429.04,8006429.04,0.0,Fraud
4,37932.17,11319.0,0.0,No Fraud
1,107351.33,107351.33,0.0,Fraud
1,252780.9,31991.0,0.0,No Fraud
1,198245.57,40390.0,0.0,No Fraud
3,11989.9,0.0,0.0,No Fraud
1,2463190.9,2463190.9,0.0,Fraud
0,132541.41,2300.0,134841.41,No Fraud
0,152353.98,8430.0,160783.98,No Fraud
3,4217.84,576.0,0.0,No Fraud
3,3560.03,50226.0,46665.97,No Fraud
1,1697655.62,1697655.62,0.0,Fraud
0,31551.54,10367.0,41918.54,No Fraud
4,873356.47,873356.47,0.0,Fraud
1,26173.64,0.0,0.0,No Fraud
4,1555182.41,1555182.41,0.0,Fraud
4,500698.98,316628.0,0.0,No Fraud
3,20183.75,5023.0,0.0,No Fraud
4,2739248.3,2739248.3,0.0,Fraud
3,9452.82,0.0,0.0,No Fraud
4,32872.0,32872.0,0.0,Fraud
1,7060216.94,7060216.94,0.0,Fraud
3,14668.45,0.0,0.0,No Fraud
1,319487.97,0.0,0.0,No Fraud
0,193470.16,1224.0,194694.16,No Fraud
1,315712.36,315712.36,0.0,Fraud
3,33029.68,0.0,0.0,No Fraud
0,20264.25,31199.0,51463.25,No Fraud
1,532509.75,20475.0,0.0,No Fraud
1,455709.8,455709.8,0.0,Fraud
1,1232239.39,1232239.39,0.0,Fraud
1,299089.6,39955.0,0.0,No Fraud
4,3582885.46,3582885.46,0.0,Fraud
4,6324299.91,6324299.91,0.0,Fraud
1,10000000.0,10000000.0,0.0,Fraud
0,18518.59,10073964.13,10092482.72,No Fraud
4,21829.31,21829.31,0.0,Fraud
4,433173.66,14348.19,0.0,No Fraud
4,353783.72,0.0,0.0,No Fraud
1,5591414.49,5591414.49,0.0,Fraud
4,10276.87,10276.87,0.0,Fraud
4,278619.91,278619.91,0.0,Fraud
1,8775594.43,8775594.43,0.0,Fraud
1,6302888.93,6302888.93,0.0,Fraud
1,4104942.7,4104942.7,0.0,Fraud
1,463383.26,0.0,0.0,No Fraud
4,80273.47,0.0,0.0,No Fraud
4,7175.64,0.0,0.0,No Fraud
3,12655.13,0.0,0.0,No Fraud
4,2108440.98,2108440.98,0.0,Fraud
4,1050635.77,1050635.77,0.0,Fraud
3,5521.12,51674.0,46152.88,No Fraud
3,3887.23,0.0,0.0,No Fraud
4,503420.67,503420.67,0.0,Fraud
4,773926.81,773926.81,0.0,Fraud
1,474195.1,474195.1,0.0,Fraud
3,5858.98,0.0,0.0,No Fraud
0,26674.27,2491466.12,2518140.39,No Fraud
3,27113.63,205063.0,177949.37,No Fraud
0,275516.35,252383.0,527899.35,No Fraud
1,333630.9,0.0,0.0,No Fraud
1,2312944.11,2312944.11,0.0,Fraud
0,226287.29,242989.85,469277.14,No Fraud
4,581889.94,581889.94,0.0,Fraud
1,555731.98,555731.98,0.0,Fraud
4,87660.69,87660.69,0.0,Fraud
4,7435751.59,7435751.59,0.0,Fraud
1,124010.2,10683.0,0.0,No Fraud
4,10000000.0,11336901.11,1336901.11,Fraud
1,133012.53,175097.0,42084.47,No Fraud
3,5546.17,44520.3,38974.13,No Fraud
1,7535.58,7535.58,0.0,Fraud
1,932922.6,932922.6,0.0,Fraud
1,109525.67,109525.67,0.0,Fraud
1,203881.96,203881.96,0.0,Fraud
4,1152538.9,1152538.9,0.0,Fraud
3,1995.24,31347.0,29351.76,No Fraud
0,218351.56,9358850.59,9577202.15,No Fraud
4,43645.69,0.0,0.0,No Fraud
4,506591.47,0.0,0.0,No Fraud
4,1008055.55,0.0,0.0,No Fraud
3,15977.08,0.0,0.0,No Fraud
4,486175.4,486175.4,0.0,Fraud
0,306057.4,3882971.9,4189029.3,No Fraud
1,326884.31,326884.31,0.0,Fraud
1,335219.49,335219.49,0.0,Fraud
1,188097.08,188097.08,0.0,Fraud
3,5466.03,0.0,0.0,No Fraud
1,2324907.08,2324907.08,0.0,Fraud
4,150245.05,150245.05,0.0,Fraud
4,1669143.57,1669143.57,0.0,Fraud
4,2874626.02,2874626.02,0.0,Fraud
4,2339743.18,2339743.18,0.0,Fraud
1,1027260.28,1027260.28,0.0,Fraud
0,319191.29,27958.0,347149.29,No Fraud
3,6431.15,0.0,0.0,No Fraud
1,813133.35,813133.35,0.0,Fraud
0,62261.2,4186404.21,4248665.41,No Fraud
1,301193.32,301193.32,0.0,Fraud
1,158426.73,0.0,0.0,No Fraud
1,474450.09,0.0,0.0,No Fraud
1,10000000.0,10000000.0,0.0,Fraud
3,25745.74,56861.7,31115.96,No Fraud
0,21008.07,138174.0,159182.07,No Fraud
4,354441.19,354441.19,0.0,Fraud
1,10000000.0,10000000.0,0.0,Fraud
4,222735.34,222735.34,0.0,Fraud
4,1074.81,1074.81,0.0,Fraud
4,556218.01,556218.01,0.0,Fraud
1,10000000.0,10000000.0,0.0,Fraud
0,207366.5,4067443.89,4274810.39,No Fraud
4,26768.5,26768.5,0.0,Fraud
4,58737.53,58737.53,0.0,Fraud
4,145482.09,145482.09,0.0,Fraud
4,3572736.74,3572736.74,0.0,Fraud
1,74371.84,0.0,0.0,No Fraud
1,1423627.83,1423627.83,0.0,Fraud
1,137605.04,137605.04,0.0,Fraud
1,1015051.7,1015051.7,0.0,Fraud
4,81278.73,81278.73,0.0,Fraud
4,166972.46,166972.46,0.0,Fraud
0,205682.57,2687394.88,2893077.44,No Fraud
1,142.73,5650.82,5508.09,No Fraud
1,228366.86,0.0,0.0,No Fraud
0,96756.8,664156.11,760912.91,No Fraud
1,63624.08,63624.08,0.0,Fraud
4,140523.4,140523.4,0.0,Fraud
0,234542.05,4120376.17,4354918.22,No Fraud
1,178864.47,0.0,0.0,No Fraud
1,1168274.14,1168274.14,0.0,Fraud
3,9637.2,30967.0,21329.8,No Fraud
1,150687.13,10665.0,0.0,No Fraud
1,432254.84,432254.84,0.0,Fraud
1,4690769.98,4690769.98,0.0,Fraud
1,98752.57,0.0,0.0,No Fraud
3,36058.83,16651.0,0.0,No Fraud
1,34099.1,34099.1,0.0,Fraud
3,23580.73,0.0,0.0,No Fraud
1,102073.05,149926.0,47852.95,No Fraud
4,888905.27,888905.27,0.0,Fraud
1,63009.43,63009.43,0.0,Fraud
4,103124.43,103124.43,0.0,Fraud
0,145599.9,5970339.16,6115939.06,No Fraud
1,249984.75,249984.75,0.0,Fraud
3,5465.35,11635.0,6169.65,No Fraud
4,2135320.18,2135320.18,0.0,Fraud
3,12665.89,0.0,0.0,No Fraud
3,5111.58,0.0,0.0,No Fraud
4,168303.36,168303.36,0.0,Fraud
1,108994.49,108994.49,0.0,Fraud
1,803794.53,803794.53,0.0,Fraud
1,591032.52,591032.52,0.0,Fraud
0,78846.76,25517.0,104363.76,No Fraud
1,1086227.44,1086227.44,0.0,Fraud
4,112958.85,112958.85,0.0,Fraud
1,1205760.86,1205760.86,0.0,Fraud
1,349619.91,349619.91,0.0,Fraud
3,39466.43,1074.0,0.0,No Fraud
3,18181.23,0.0,0.0,No Fraud
1,6515.64,6515.64,0.0,Fraud
1,239786.11,789.0,0.0,No Fraud
1,1061353.33,1061353.33,0.0,Fraud
0,229979.21,4214.0,234193.21,No Fraud
3,32564.55,237146.8,204582.24,No Fraud
1,566142.89,566142.89,0.0,Fraud
1,93732.16,93732.16,0.0,Fraud
1,58924.16,58924.16,0.0,Fraud
1,177097.59,18437.0,0.0,No Fraud
1,60516.53,60516.53,0.0,Fraud
1,3547485.43,3547485.43,0.0,Fraud
1,379057.93,379057.93,0.0,Fraud
1,705647.68,705647.68,0.0,Fraud
4,510053.3,7526.0,0.0,No Fraud
1,74854.93,74854.93,0.0,Fraud
0,80631.26,9862333.54,9942964.8,No Fraud
3,1799.77,465.0,0.0,No Fraud
0,20047.02,3670.0,23717.02,No Fraud
4,248409.56,248409.56,0.0,Fraud
1,1559540.62,1559540.62,0.0,Fraud
4,422648.87,422648.87,0.0,Fraud
3,15476.67,370794.6,355317.93,No Fraud
